,ensembl_gene_id,external_gene_id,con1_ExpCounts,con2_ExpCounts,mic1_ExpCounts,mic2_ExpCounts,mic3_ExpCounts
6340,ENSRNOG00000016526,Dsg2,6.813507157,6.4104792586,8.1679676704,8.3338997101,7.7229195227
6341,ENSRNOG00000016528,Ppp1r21,4.1769029214,3.7965183389,4.5917874404,4.6449991808,4.3538775254
6342,ENSRNOG00000016530,Nsa2,4.025454681,4.0399797646,6.3411489828,6.2486311621,6.6240522607
6343,ENSRNOG00000016532,Ino80c,3.8649139114,3.6480726631,5.0210944395,4.6807809974,4.9002782826
6344,ENSRNOG00000016534,Fam171a1,1.0316680824,1.4398578144,2.8712913566,3.0729080463,2.4630408871
6345,ENSRNOG00000016535,Ccl22,-0.9995623168,-2.0778818289,1.1047659684,0.4047242121,0.9579773941
6346,ENSRNOG00000016536,Pdik1l,2.9460910423,2.9827144599,3.9517380354,4.2886986856,3.5946336487
6347,ENSRNOG00000016538,Itga8,1.2555309351,1.3064493079,3.5530962263,3.719383355,2.7156522159
6348,ENSRNOG00000016539,Rab24,4.521547821,4.5026706158,5.495416211,5.5838957954,5.6458535423
6349,ENSRNOG00000016541,Enc1,3.5637123173,5.1771184783,7.3801000003,7.5588986541,7.4854556911
6350,ENSRNOG00000016544,Arhgef28,-1.6057271067,-0.6523807035,0.9262604819,0.7509201316,-0.3106183763
